url,STRING : esrb,STRING : publisher,STRING : genre,STRING : developer
videogame/ps2.gamespy.com/mlb-06-the-show.html,Everyone,Sony Computer Entertainment,Sports,SCE Studios San Diego
videogame/ps2.gamespy.com/mx-vs-atv-2008.html,Everyone,THQ,Racing,Incinerator Games
videogame/ps2.gamespy.com/madagascar.html,Everyone 10+,Activision,Action,Toys for Bob
videogame/ps2.gamespy.com/madden-nfl-2006.html,Everyone,Electronic Arts,Sports,Tiburon
videogame/ps2.gamespy.com/madden-nfl-07.html,Everyone,Electronic Arts,Sports,Tiburon
videogame/ps2.gamespy.com/madden-nfl-08.html,Everyone,Electronic Arts,Sports,Tiburon
videogame/ps2.gamespy.com/major-league-baseball-2k6.html,Everyone,2K Sports,Sports,Kush Games
videogame/ps2.gamespy.com/phantom-kingdom.html,Teen,NIS,"Strategy, RPG",NIS
videogame/ps2.gamespy.com/manhunt.html,Mature,Rockstar Games,Action,Rockstar North
videogame/ps2.gamespy.com/manhunt-2.html,Mature,Rockstar Games,Action,Rockstar London
videogame/ps2.gamespy.com/marc-eckos-getting-up-contents-under-pressure.html,Mature,Atari,"Action, Adventure",The Collective
videogame/ps2.gamespy.com/untitled-marvel-comics-rpg.html,Teen,Activision,"Action, RPG",Raven Software
videogame/ps2.gamespy.com/mega-man-x-collection.html,Everyone,Capcom,Compilation,Capcom
videogame/ps2.gamespy.com/mega-man-x8.html,Everyone,Capcom,Action,Capcom Production Studio 1
videogame/ps2.gamespy.com/mercenaries.html,Teen,LucasArts,Shooter,Pandemic Studios
videogame/ps2.gamespy.com/metal-gear-solid-3-snake-eater.html,Mature,Konami,Action,Konami JPN (KCEJ)
videogame/ps2.gamespy.com/metal-gear-solid-3-subsistence.html,Mature,Konami,Action,Kojima Productions
videogame/ps2.gamespy.com/micro-machines-v4.html,Everyone,Codemasters,Racing,Supersonic Software
videogame/ps2.gamespy.com/midnight-club-3-dub-edition.html,Everyone 10+,Rockstar Games,Racing,Rockstar San Diego
videogame/ps2.gamespy.com/monster-rancher-3.html,Everyone,Tecmo,Battle,Tecmo
videogame/ps2.gamespy.com/mortal-kombat-armageddon.html,Mature,Midway Games,Fighting,Midway Games
videogame/ps2.gamespy.com/mortal-kombat-deception.html,Mature,Midway Games,Fighting,Midway Games
videogame/ps2.gamespy.com/motogp-4.html,Everyone,Namco,"Racing, Simulation",Namco
videogame/ps2.gamespy.com/nascar-2001.html,Everyone,Electronic Arts,Racing,Electronic Arts
videogame/ps2.gamespy.com/nba-07.html,Everyone,Sony Computer Entertainment,Sports,SCE Studios San Diego
videogame/ps2.gamespy.com/nba-ballers.html,Everyone,Midway Games,"Sports, Action",Midway Games
videogame/ps2.gamespy.com/nba-live-2006.html,Everyone,Electronic Arts,Sports,EA Canada
videogame/ps2.gamespy.com/nba-live-2005.html,Everyone,Electronic Arts,"Sports, Simulation",EA Canada
